trial,trial_seed,sigma,snr,success,steps,final_confidence,rcp,active_cells,weight_scale,R,T,max_steps,mode,mode_variant,n_effective,R_effective
73,115,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
74,116,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
75,117,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
76,118,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
77,119,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
78,120,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
79,121,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
80,122,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
81,123,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
82,124,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
83,125,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
84,126,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
85,127,0.0,999.00,1,11,0.9993,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
86,128,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
87,129,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
88,130,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
89,131,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
90,132,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
91,133,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
92,134,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
93,135,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
94,136,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
95,137,0.0,999.00,1,11,0.9993,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
96,138,0.0,999.00,1,11,0.9992,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
97,139,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
98,140,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
99,141,0.0,999.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
0,142,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
1,143,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
2,144,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
3,145,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
4,146,0.1,10.00,1,11,0.9993,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
5,147,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
6,148,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
7,149,0.1,10.00,1,11,0.9991,396.00,4,1.0,3,0.2,50,wbit,wbit,1,3
