experiment,layout,grid,obstacle_density,sigma,weight_scale,H,direct_conn,success_rate,avg_rcp,avg_rcp_success,R,R_effective,T,active_cells,avg_conf_success,avg_final_conf,avg_sat_count_success,avg_steps,avg_steps_success,conditional_success,feasible_rate,final_confidence,max_steps,mean_best_acc,mean_best_mse,mean_detour_success,mean_path_success,mode,mode_variant,n_effective,rcp,snr,steps,success,trial,trial_seed,trials
B,,,,0.9,0.05,,,0.00,1800.0,,3,3,0.2,,,0.546,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.0,0.05,,,0.00,1800.0,,3,3,0.2,,,0.567,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.1,0.05,,,0.00,1800.0,,3,3,0.2,,,0.586,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.2,0.05,,,0.00,1800.0,,3,3,0.2,,,0.588,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.3,0.05,,,0.00,1800.0,,3,3,0.2,,,0.536,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.4,0.05,,,0.00,1800.0,,3,3,0.2,,,0.543,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.5,0.05,,,0.00,1800.0,,3,3,0.2,,,0.598,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.6,0.05,,,0.00,1800.0,,3,3,0.2,,,0.598,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.7,0.05,,,0.00,1800.0,,3,3,0.2,,,0.582,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.8,0.05,,,0.00,1800.0,,3,3,0.2,,,0.562,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,1.9,0.05,,,0.00,1800.0,,3,3,0.2,,,0.584,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B,,,,2.0,0.05,,,0.00,1800.0,,3,3,0.2,,,0.560,,50.0,,,,,50,,,,,,wbit,1,,,,,,,50
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9992,50,,,,,wbit,wbit,1,396.00,999.00,11,1,0,42,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9992,50,,,,,wbit,wbit,1,396.00,999.00,11,1,1,43,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,2,44,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,3,45,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,4,46,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,5,47,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9992,50,,,,,wbit,wbit,1,396.00,999.00,11,1,6,48,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,7,49,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,8,50,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,9,51,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9993,50,,,,,wbit,wbit,1,396.00,999.00,11,1,10,52,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,11,53,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9992,50,,,,,wbit,wbit,1,396.00,999.00,11,1,12,54,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9992,50,,,,,wbit,wbit,1,396.00,999.00,11,1,13,55,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,14,56,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,15,57,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,16,58,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,17,59,
B_noise,,,,0.0,1.0,,,,,,3,3,0.2,4,,,,,,,,0.9991,50,,,,,wbit,wbit,1,396.00,999.00,11,1,18,60,
