trial,base_seed,map_seed,noise_seed,layout,obstacle_density,sigma,grid,R,T,success,feasible,path_exists,penalty_used,steps,final_confidence,rcp,optimal_dist,active_cells,path_len,detour_ratio,n_obstacles,map_hash,mode,mode_variant,n_effective,R_effective
76,42,218,1218,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999643643,45000.0,18,100,0,0.0,10,11af976745c579ae,adaptive,adaptive_heuristic_n1,1,3,3850
77,42,219,1219,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999681755,45000.0,18,100,0,0.0,10,a1a3f80c0ac8ad12,adaptive,adaptive_heuristic_n1,1,3,3700
78,42,220,1220,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999693452,45000.0,18,100,0,0.0,10,ad43d3f6a238ce17,adaptive,adaptive_heuristic_n1,1,3,3600
79,42,221,1221,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999626634,45000.0,18,100,0,0.0,10,74cd93014f52636e,adaptive,adaptive_heuristic_n1,1,3,4050
80,42,222,1222,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.999999999957389,45000.0,18,100,0,0.0,10,a0ee61f8828f830f,adaptive,adaptive_heuristic_n1,1,3,4050
81,42,223,1223,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999594287,45000.0,18,100,0,0.0,10,26f30a39102a6496,adaptive,adaptive_heuristic_n1,1,3,3950
82,42,224,1224,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999758574,45000.0,18,100,0,0.0,10,1a62ea1db2532fe6,adaptive,adaptive_heuristic_n1,1,3,4100
83,42,225,1225,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999558515,45000.0,18,100,0,0.0,10,a85f8db737bfd21b,adaptive,adaptive_heuristic_n1,1,3,3950
84,42,226,1226,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999019633,45000.0,18,100,0,0.0,10,94614db552722caf,adaptive,adaptive_heuristic_n1,1,3,3850
85,42,227,1227,random,0.1,0.1,10,3,0.2,0,1,1,0,50,0.9999999999756339,45000.0,18,100,0,0.0,10,0b7ca72c8a77d09c,adaptive,adaptive_heuristic_n1,1,3,4100
